,tweet_id,text,user,user_screen_name,favorite_count,retweet_count,created_at,user_description,verified,Is_Quote,Author_replied_to
0,1204427239787507713,@TaylorTwellman ugh,20899023,MatthewBerryTMR,1,0,2019-12-10 15:46:45,"Host The Fantasy Show on ESPN+, NYTimes Best Selling Author of Fantasy Life, founder @fantasylifeapp and yeah, that’s me in #AvengersEndGame.",True,False,TaylorTwellman
1,1204422242467295232,Brutal blow but not unexpected. https://t.co/bwdLXmUuDV,20899023,MatthewBerryTMR,81,9,2019-12-10 15:26:54,"Host The Fantasy Show on ESPN+, NYTimes Best Selling Author of Fantasy Life, founder @fantasylifeapp and yeah, that’s me in #AvengersEndGame.",True,True,
2,1204416717394305025,"Here's the link we are discussing on air for the @FSGAtweets ""People's Choice"" awards for Fantasy Analyst of the Ye… https://t.co/43yqcKjntw",20899023,MatthewBerryTMR,14,1,2019-12-10 15:04:57,"Host The Fantasy Show on ESPN+, NYTimes Best Selling Author of Fantasy Life, founder @fantasylifeapp and yeah, that’s me in #AvengersEndGame.",True,False,
3,1204409822898057216,"RT @MatthewBerryTMR: In the #AgboSuperhero league, Nebula herself, @karengillan started slow but has since roared back into the playoffs wi…",20899023,MatthewBerryTMR,0,20,2019-12-10 14:37:33,"Host The Fantasy Show on ESPN+, NYTimes Best Selling Author of Fantasy Life, founder @fantasylifeapp and yeah, that’s me in #AvengersEndGame.",True,False,
4,1204398824917291009,RT @DanClasgens: The fantasy sports industry is full of great people who often help each other out. Now one of our own needs our help. Plea…,20899023,MatthewBerryTMR,0,38,2019-12-10 13:53:51,"Host The Fantasy Show on ESPN+, NYTimes Best Selling Author of Fantasy Life, founder @fantasylifeapp and yeah, that’s me in #AvengersEndGame.",True,True,
5,1204261216979427328,@scott_pianowski Scott,20899023,MatthewBerryTMR,14,0,2019-12-10 04:47:02,"Host The Fantasy Show on ESPN+, NYTimes Best Selling Author of Fantasy Life, founder @fantasylifeapp and yeah, that’s me in #AvengersEndGame.",True,False,scott_pianowski
6,1204260829912285184,Here’s another. #fantasyheartbreak https://t.co/mNdzpAm8K3,20899023,MatthewBerryTMR,131,11,2019-12-10 04:45:30,"Host The Fantasy Show on ESPN+, NYTimes Best Selling Author of Fantasy Life, founder @fantasylifeapp and yeah, that’s me in #AvengersEndGame.",True,True,
7,1204260665831112704,Unbelievable bad beat loss in one of my lgs. Team managed by partners had miscommunication &amp; didn’t start a RB. Lon… https://t.co/0akLWFJLAr,20899023,MatthewBerryTMR,670,27,2019-12-10 04:44:51,"Host The Fantasy Show on ESPN+, NYTimes Best Selling Author of Fantasy Life, founder @fantasylifeapp and yeah, that’s me in #AvengersEndGame.",True,False,
8,1204259509360873472,So many bad beats coming from that last second Ertz second TD. #Fantasyheartbreak. https://t.co/A9qfkdsbzJ,20899023,MatthewBerryTMR,548,36,2019-12-10 04:40:15,"Host The Fantasy Show on ESPN+, NYTimes Best Selling Author of Fantasy Life, founder @fantasylifeapp and yeah, that’s me in #AvengersEndGame.",True,True,
9,1204245248588886016,@notthefakeSVP @MikeClayNFL Jameis huge game was one of the all-time surprising fantasy moments.,20899023,MatthewBerryTMR,147,4,2019-12-10 03:43:35,"Host The Fantasy Show on ESPN+, NYTimes Best Selling Author of Fantasy Life, founder @fantasylifeapp and yeah, that’s me in #AvengersEndGame.",True,False,notthefakeSVP
10,1204239361098817536,"In the #AgboSuperhero league, Nebula herself, @karengillan started slow but has since roared back into the playoffs… https://t.co/N4HXkVFnxs",20899023,MatthewBerryTMR,202,20,2019-12-10 03:20:12,"Host The Fantasy Show on ESPN+, NYTimes Best Selling Author of Fantasy Life, founder @fantasylifeapp and yeah, that’s me in #AvengersEndGame.",True,False,
11,1204232929922207744,Props to Boomer for nailing the Falcons WR’s name ... took me three tries on The Fantasy Show today.,20899023,MatthewBerryTMR,362,5,2019-12-10 02:54:38,"Host The Fantasy Show on ESPN+, NYTimes Best Selling Author of Fantasy Life, founder @fantasylifeapp and yeah, that’s me in #AvengersEndGame.",True,False,
12,1204209242741325832,Late doing this but what do you need tonight? #MondayNightMiracle,20899023,MatthewBerryTMR,330,9,2019-12-10 01:20:31,"Host The Fantasy Show on ESPN+, NYTimes Best Selling Author of Fantasy Life, founder @fantasylifeapp and yeah, that’s me in #AvengersEndGame.",True,False,
13,1204161589911404545,I love seeing tweets like this. I have no idea why people don’t download this app. It’s 100% FREE and it will make… https://t.co/IRxDQhRP1r,20899023,MatthewBerryTMR,176,6,2019-12-09 22:11:09,"Host The Fantasy Show on ESPN+, NYTimes Best Selling Author of Fantasy Life, founder @fantasylifeapp and yeah, that’s me in #AvengersEndGame.",True,True,
14,1204142125916606466,Feel awful for Guice. https://t.co/sTrH3NKeAX,20899023,MatthewBerryTMR,383,18,2019-12-09 20:53:49,"Host The Fantasy Show on ESPN+, NYTimes Best Selling Author of Fantasy Life, founder @fantasylifeapp and yeah, that’s me in #AvengersEndGame.",True,True,
15,1204130605568577538,"RT @Hasselbeck: Pete Frates was a game-changer, a true inspiration who literally changed the world. 

#StrikeOutALS 
https://t.co/KXgt5M1DN…",20899023,MatthewBerryTMR,0,137,2019-12-09 20:08:02,"Host The Fantasy Show on ESPN+, NYTimes Best Selling Author of Fantasy Life, founder @fantasylifeapp and yeah, that’s me in #AvengersEndGame.",True,True,
16,1204117569059336193,What’s up NYC? Very cool FREE event we are doing on THIS Wednesday night to celebrate @starwars .. @DanielDopp… https://t.co/6qYaYqCrN4,20899023,MatthewBerryTMR,17,3,2019-12-09 19:16:14,"Host The Fantasy Show on ESPN+, NYTimes Best Selling Author of Fantasy Life, founder @fantasylifeapp and yeah, that’s me in #AvengersEndGame.",True,True,
17,1204115285453758467,@lindseyyok I have no idea why you would ever look at your DM’s.,20899023,MatthewBerryTMR,59,0,2019-12-09 19:07:10,"Host The Fantasy Show on ESPN+, NYTimes Best Selling Author of Fantasy Life, founder @fantasylifeapp and yeah, that’s me in #AvengersEndGame.",True,False,lindseyyok
18,1204109303713533953,Calvin Ridley has announced on his Instagram that he will miss the rest of the season.,20899023,MatthewBerryTMR,540,46,2019-12-09 18:43:23,"Host The Fantasy Show on ESPN+, NYTimes Best Selling Author of Fantasy Life, founder @fantasylifeapp and yeah, that’s me in #AvengersEndGame.",True,False,
19,1204108438814560257,https://t.co/PhDdyjA1Si https://t.co/y8nSbCWTnG,20899023,MatthewBerryTMR,193,14,2019-12-09 18:39:57,"Host The Fantasy Show on ESPN+, NYTimes Best Selling Author of Fantasy Life, founder @fantasylifeapp and yeah, that’s me in #AvengersEndGame.",True,True,
