,tweet_id,text,user,user_screen_name,favorite_count,retweet_count,created_at,user_description,verified,Is_Quote,Author_replied_to
0,1204428572229718018,Mets haven't totally ruled out Marte trade https://t.co/MXb9DMHejN,20950014,Rotoworld_BB,3,0,2019-12-10 15:52:03,Top Fantasy Baseball Headlines and Articles from http://t.co/5rPF7U4U,True,False,
1,1204405415955484672,"Twins pursuing Ryu, Keuchel, Bumgarner https://t.co/H9Or2WHZhA",20950014,Rotoworld_BB,5,3,2019-12-10 14:20:02,Top Fantasy Baseball Headlines and Articles from http://t.co/5rPF7U4U,True,False,
2,1204396858224730112,Report: Nats make inquiry on Kris Bryant https://t.co/oLK1L3XTHL,20950014,Rotoworld_BB,10,2,2019-12-10 13:46:02,Top Fantasy Baseball Headlines and Articles from http://t.co/5rPF7U4U,True,False,
3,1204377750062141440,.@djshort recaps @stras37's record contract with the @Nationals and more in Tuesday's Dose. https://t.co/s4bz00OLzx https://t.co/YmEukrDOfc,20950014,Rotoworld_BB,1,1,2019-12-10 12:30:06,Top Fantasy Baseball Headlines and Articles from http://t.co/5rPF7U4U,True,False,
4,1204242843625123840,SF the 'top bidder' for Nicholas Castellanos? https://t.co/gISHHoekyN,20950014,Rotoworld_BB,8,2,2019-12-10 03:34:02,Top Fantasy Baseball Headlines and Articles from http://t.co/5rPF7U4U,True,False,
5,1204237683427426304,Yankees trying to trade southpaw J.A. Happ https://t.co/QA4UIjS5Mv,20950014,Rotoworld_BB,4,3,2019-12-10 03:13:32,Top Fantasy Baseball Headlines and Articles from http://t.co/5rPF7U4U,True,False,
6,1204236046927417344,Pads 'more motivated than ever' to deal Myers https://t.co/dowWFGE9hZ,20950014,Rotoworld_BB,39,13,2019-12-10 03:07:01,Top Fantasy Baseball Headlines and Articles from http://t.co/5rPF7U4U,True,False,
7,1204191754146082816,Red Sox are 'actively trying to trade' JBJ https://t.co/lcMf9aLgZC,20950014,Rotoworld_BB,21,6,2019-12-10 00:11:01,Top Fantasy Baseball Headlines and Articles from http://t.co/5rPF7U4U,True,False,
8,1204180431626620929,Cole contract 'expected to exceed $300M' https://t.co/jAM9125VmW,20950014,Rotoworld_BB,13,5,2019-12-09 23:26:02,Top Fantasy Baseball Headlines and Articles from http://t.co/5rPF7U4U,True,False,
9,1204162439341731841,Nationals announce record deal with Strasburg https://t.co/ZyZpMVLbIG,20950014,Rotoworld_BB,7,1,2019-12-09 22:14:32,Top Fantasy Baseball Headlines and Articles from http://t.co/5rPF7U4U,True,False,
